Name,Surname,Initials,Age,DateOfBirth
Randy,Kolisi,R,24,14-04-1998
Ernest,Stephen,E,23,14-04-1999
Vuyo,Jean,V,22,14-04-2000
Lukhanyo,Gerald,L,21,14-04-2001
Carolyn,Selepe,C,20,14-04-2002
Viwe,Debra,V,19,14-04-2003
Ernest,Xulu,E,18,14-04-2004
Siya,Nxele,S,17,14-04-2005
Lee,Nxele,L,16,14-04-2006
Makazole,Zembe,M,15,14-04-2007
Randy,Joseph,R,14,14-04-2008
Lood,Mapimpi,L,13,14-04-2009
Viwe,Mapimpi,V,12,14-04-2010
Lee,Joseph,L,11,14-04-2011
Neo,Debra,N,10,14-04-2012
Lois,Selepe,L,9,14-04-2013
Ninja,Nxele,N,8,14-04-2014
Lukhanyo,Am,L,7,14-04-2015
Randy,Selepe,R,6,14-04-2016
Lukhanyo,Nxele,L,5,14-04-2017
Frank,Nxele,F,4,14-04-2018
Henry,Alexander,H,3,14-04-2019
Lood,Jean,L,2,14-04-2020
Lood,Fassi,L,1,14-04-2021
Neo,Ralph,N,0,14-04-2022
Lood,Clark,L,0,14-04-2023
Jesse,Mapimpi,J,1,14-04-2024
Lois,Mapimpi,L,2,14-04-2025
Makazole,Joseph,M,3,14-04-2026
Harry,Nxele,H,4,14-04-2027
Bruce,Raymond,B,5,14-04-2028
Jesse,Nxele,J,6,14-04-2029
Carolyn,Raymond,C,7,14-04-2030
Carolyn,Alexander,C,8,14-04-2031
Lood,Selepe,L,9,14-04-2032
Bhongo,Am,B,10,14-04-2033
Makazole,Zembe,M,11,14-04-2034
Bhongo,Selepe,B,12,14-04-2035
Lood,Am,L,13,14-04-2036
Siya,Mapimpi,S,14,14-04-2037
Siya,Carter,S,15,14-04-2038
Shirley,Zembe,S,16,14-04-2039
Viwe,Zembe,V,17,14-04-2040
Ninja,Raymond,N,18,14-04-2041
Ernest,Clark,E,19,14-04-2042
Lukhanyo,Jean,L,20,14-04-2043
Jesse,Am,J,21,14-04-2044
Henry,Nelson,H,22,14-04-2045
Neo,Nxele,N,23,14-04-2046
Randy,Alexander,R,24,14-04-2047
Neo,Carlos,N,25,14-04-2048
Carolyn,Carlos,C,26,14-04-2049
Lois,Am,L,27,14-04-2050
Ninja,Gerald,N,28,14-04-2051
Bhongo,Raymond,B,29,14-04-2052
Frank,Am,F,30,14-04-2053
Frank,Carlos,F,31,14-04-2054
Harry,Selepe,H,32,14-04-2055
Vuyo,Debra,V,33,14-04-2056
Siya,Am,S,34,14-04-2057
Shirley,Joseph,S,35,14-04-2058
Shirley,Jean,S,36,14-04-2059
Vuyo,Carter,V,37,14-04-2060
Henry,Nelson,H,38,14-04-2061
Bruce,Jean,B,39,14-04-2062
Vuyo,Selepe,V,40,14-04-2063
Vuyo,Selepe,V,41,14-04-2064
Neo,Carlos,N,42,14-04-2065
Neo,Xulu,N,43,14-04-2066
Jesse,Xulu,J,44,14-04-2067
Ernest,Nelson,E,45,14-04-2068
Viwe,Am,V,46,14-04-2069
Bruce,Debra,B,47,14-04-2070
Neo,Zembe,N,48,14-04-2071
Lois,Fassi,L,49,14-04-2072
Lukhanyo,Alexander,L,50,14-04-2073
Ninja,Mapimpi,N,51,14-04-2074
Lee,Debra,L,52,14-04-2075
Frank,Gerald,F,53,14-04-2076
Lukhanyo,Ralph,L,54,14-04-2077
Ernest,Am,E,55,14-04-2078
Bhongo,Xulu,B,56,14-04-2079
Ninja,Raymond,N,57,14-04-2080
Bhongo,Joseph,B,58,14-04-2081
Harry,Selepe,H,59,14-04-2082
Ernest,Jean,E,60,14-04-2083
Lukhanyo,Am,L,61,14-04-2084
Carolyn,Carlos,C,62,14-04-2085
Lois,Selepe,L,63,14-04-2086
Makazole,Gerald,M,64,14-04-2087
Carolyn,Stephen,C,65,14-04-2088
Carolyn,Am,C,66,14-04-2089
Ernest,Nxele,E,67,14-04-2090
Siya,Selepe,S,68,14-04-2091
Lois,Xulu,L,69,14-04-2092
Shirley,Fassi,S,70,14-04-2093
Lood,Jean,L,71,14-04-2094
Ninja,Kolisi,N,72,14-04-2095
Viwe,Carter,V,73,14-04-2096
Ernest,Jean,E,74,14-04-2097
